,project,subproject,institution,componentType,type,property1_key,property1_value,property2_key,property2_value
0,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,PART_NUMBER,Eingabe erforderlich-0004,Machining_Date,x
1,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,PART_NUMBER,Eingabe erforderlich-0005,Machining_Date,x
2,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,PART_NUMBER,Eingabe erforderlich-0006,Machining_Date,x
