1.92	0.18	179.68	0.63	70.61	0.39	166.81	0.42
2.78	0.18	183.0	0.38	78.03	0.74	166.63	0.51
2.78	0.18	183.23	0.38	82.35	0.51	168.09	0.32
3.64	0.18	183.09	0.43	82.58	0.59	168.08	0.33
3.64	0.18	183.35	0.41	89.7	0.7	166.8	0.47
4.51	0.19	183.44	0.46	89.83	0.62	168.29	0.33
4.51	0.19	183.68	0.39	89.81	0.61	168.3	0.33
5.37	0.19	183.69	0.39	89.83	0.61	168.37	0.35
5.37	0.19	183.6	0.55	98.39	0.81	168.32	0.32
7.1	0.19	180.16	0.95	105.89	2.11	168.17	0.71
7.96	0.19	183.12	0.82	109.23	1.51	168.24	0.54
8.82	0.19	181.29	0.85	109.31	1.43	168.26	0.51
9.94	0.44	179.36	0.61	109.27	1.26	168.27	0.44
13.31	0.4	184.1	0.45	109.35	1.02	168.29	0.36
14.78	0.34	183.92	0.4	109.26	0.96	168.07	0.34
14.6	0.45	182.81	0.6	116.76	1.75	165.53	0.54
14.69	0.41	183.7	0.3	111.07	0.87	167.38	0.3
14.69	0.41	183.9	0.25	109.32	0.6	168.05	0.22
14.78	0.34	180.23	0.33	117.89	0.92	167.59	0.32
14.69	0.41	184.07	0.26	109.44	0.59	168.27	0.21
15.73	0.22	184.12	0.39	109.33	0.89	168.29	0.32
16.59	0.22	184.12	0.36	109.83	0.98	168.18	0.37
17.45	0.22	179.77	0.51	121.43	1.34	167.5	0.5
18.31	0.23	183.9	0.8	109.33	1.82	168.13	0.63
19.18	0.23	184.13	0.48	109.4	1.13	168.26	0.41
20.04	0.24	180.32	0.64	117.78	1.79	168.06	0.44
21.77	0.24	179.0	0.36	122.41	1.07	168.09	0.3
23.92	0.5	181.32	0.59	122.43	1.09	167.77	0.39
