,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value
47,20UPBBC0000048,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
48,20UPBBC0000049,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
49,20UPBBC0000050,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
50,20UPBBC0000051,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
51,20UPBBC0000052,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
52,20UPBBC0000053,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
53,20UPBBC0000054,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
54,20UPBBC0000055,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
55,20UPBBC0000056,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
56,20UPBBC0000057,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
57,20UPBBC0000058,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
58,20UPBBC0000059,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
59,20UPBBC0000060,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/01/1900,1.0,True,false,Pass/No_Pass,True
60,20UPBBC0000061,OB_BARE_MODULE_CELL,QC,Visual_Inspection,30/08/2022,1.0,True,false,Pass/No_Pass,True
61,20UPBBC0000062,OB_BARE_MODULE_CELL,QC,Visual_Inspection,30/08/2022,1.0,True,false,Pass/No_Pass,True
62,20UPBBC0000063,OB_BARE_MODULE_CELL,QC,Visual_Inspection,30/08/2022,1.0,True,false,Pass/No_Pass,True
63,20UPBBC0000064,OB_BARE_MODULE_CELL,QC,Visual_Inspection,30/08/2022,1.0,True,false,Pass/No_Pass,True
64,20UPBBC0000065,OB_BARE_MODULE_CELL,QC,Visual_Inspection,30/08/2022,1.0,True,false,Pass/No_Pass,True
65,20UPBBC0000066,OB_BARE_MODULE_CELL,QC,Visual_Inspection,30/08/2022,1.0,True,false,Pass/No_Pass,True
66,20UPBBC0000067,OB_BARE_MODULE_CELL,QC,Visual_Inspection,30/08/2022,1.0,True,false,Pass/No_Pass,True
67,20UPBBC0000068,OB_BARE_MODULE_CELL,QC,Visual_Inspection,30/08/2022,1.0,True,false,Pass/No_Pass,True
68,20UPBBC0000069,OB_BARE_MODULE_CELL,QC,Visual_Inspection,30/08/2022,1.0,True,false,Pass/No_Pass,True
69,20UPBBC0000070,OB_BARE_MODULE_CELL,QC,Visual_Inspection,30/08/2022,1.0,True,false,Pass/No_Pass,True
70,20UPBBC0000071,OB_BARE_MODULE_CELL,QC,Visual_Inspection,31/08/2022,1.0,True,false,Pass/No_Pass,True
71,20UPBBC0000072,OB_BARE_MODULE_CELL,QC,Visual_Inspection,31/08/2022,1.0,True,false,Pass/No_Pass,True
72,20UPBBC0000073,OB_BARE_MODULE_CELL,QC,Visual_Inspection,31/08/2022,1.0,True,false,Pass/No_Pass,True
73,20UPBBC0000074,OB_BARE_MODULE_CELL,QC,Visual_Inspection,31/08/2022,1.0,True,false,Pass/No_Pass,True
74,20UPBBC0000075,OB_BARE_MODULE_CELL,QC,Visual_Inspection,31/08/2022,1.0,True,false,Pass/No_Pass,True
75,20UPBBC0000076,OB_BARE_MODULE_CELL,QC,Visual_Inspection,31/08/2022,1.0,True,false,Pass/No_Pass,True
76,20UPBBC0000077,OB_BARE_MODULE_CELL,QC,Visual_Inspection,31/08/2022,1.0,True,false,Pass/No_Pass,True
77,20UPBBC0000078,OB_BARE_MODULE_CELL,QC,Visual_Inspection,31/08/2022,1.0,True,false,Pass/No_Pass,True
78,20UPBBC0000079,OB_BARE_MODULE_CELL,QC,Visual_Inspection,31/08/2022,1.0,True,false,Pass/No_Pass,True
79,20UPBBC0000080,OB_BARE_MODULE_CELL,QC,Visual_Inspection,31/08/2022,1.0,True,false,Pass/No_Pass,True
80,20UPBBC0000081,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/09/2022,1.0,True,false,Pass/No_Pass,True
81,20UPBBC0000082,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/09/2022,1.0,True,false,Pass/No_Pass,True
82,20UPBBC0000083,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/09/2022,1.0,True,false,Pass/No_Pass,True
83,20UPBBC0000084,OB_BARE_MODULE_CELL,QC,Visual_Inspection,01/09/2022,1.0,True,false,Pass/No_Pass,True
