
  -96	-0.0043	0.00025
 3072	0.0957	0.0004583
 6272	0.1956	0.00035
 9488	0.2955	0.0005477
12688	0.3956	0.000522
15872	0.4953	0.0003354
19088	0.5955	0.0002693
22304	0.6955	0.0
25504	0.7957	0.00055
28688	0.8954	0.0002291
31888	0.9954	0.0004359
32752	1.0235	0.0
31888	0.9955	0.0004378
25488	0.7956	0.0003162
22288	0.6956	0.0002838
19072	0.5954	0.0002415
15888	0.4956	0.0003162
12704	0.3957	0.0004744
 9488	0.2957	0.0004744
 6304	0.1959	0.0006147
 3104	0.0960	0.0004972
  -96	-0.0044	0.0004744
 3104	0.0957	0.0004583
 6304	0.1957	0.0003202
 9488	0.2957	0.0003202
12704	0.3956	0.00035
15888	0.4955	0.0002236
19072	0.5955	0.0004472
22288	0.6955	0.00015
25504	0.7957	0.0003317
28688	0.8955	0.0002236
31888	0.9955	0.0003873
32752	1.0235	0.0
31888	0.9955	0.0003873
28688	0.8955	0.0
25488	0.7955	0.0
22288	0.6956	0.0002
19088	0.5958	0.0006423
12672	0.4540	0.0474282
12672	0.3958	0.0005568
 9472	0.2959	0.0005937
 6304	0.1958	0.0006
 3104	0.0959	0.0005937
  -96	-0.0044	0.00045
 -480	-0.0158	0.00025
 2704	0.0843	0.0006021
 5920	0.1841	0.0002
 9120	0.2839	0.0002291
12304	0.3840	0.00015
15488	0.4837	0.0003317
18704	0.5839	0.0005937
21888	0.6838	0.0004583
25088	0.7842	0.0008078
28288	0.8841	0.0006874
31504	0.9840	0.0007746
32752	1.0235	0.0
28304	0.8839	0.0004359
25104	0.7842	0.0007142
21904	0.6842	0.0005568
18688	0.5837	0.000245
15488	0.4841	0.0007229
12352	0.3841	0.0004899
 9152	0.2842	0.0006344
 5904	0.1844	0.0005937
 2688	0.0845	0.0009069
 -496	-0.0156	0.0007229
 2704	0.0844	0.0007349
 5888	0.1842	0.0006727
 9152	0.2843	0.0007484
12304	0.3842	0.0006
15488	0.4841	0.0006874
18688	0.5839	0.0007349
21888	0.6841	0.0006633
25088	0.7842	0.0006344
28288	0.8840	0.0007229
31488	0.9838	0.0007484
32752	1.0235	0.0
28304	0.8840	0.0007071
31488	0.9840	0.0007071
21952	0.6841	0.0006633
25088	0.7842	0.0009274
18752	0.5843	0.0008426
15536	0.4843	0.0009014
12288	0.3841	0.0006633
 9136	0.2843	0.0006
 5904	0.1844	0.0007089
 2768	0.0844	0.0007089
 -496	-0.0153	0.0009274
 -320	-0.0095	0.0003873
 2896	0.0903	0.0003354
 6080	0.1901	0.0003
 9264	0.2899	0.0002
12464	0.3901	0.0002693
15664	0.4899	0.0002291
18864	0.5901	0.00035
22048	0.6900	0.00015
25264	0.7900	0.0002693
28464	0.8899	0.0003
31664	0.9899	0.0003
32752	1.0235	0.0
28464	0.8899	0.0003742
25264	0.7900	0.0002693
22064	0.6902	0.0004
18864	0.5899	0.0003742
15664	0.4902	0.0004
12464	0.3902	0.0003317
 9280	0.2902	0.0004
 6064	0.1901	0.0002
 2880	0.0902	0.0004
 -320	-0.0097	0.0002291
 -320	-0.0095	0.0004153
 2864	0.0903	0.0005099
 6064	0.1901	0.00035
 9264	0.2902	0.000245
12496	0.3901	0.0004153
15680	0.4900	0.000522
18880	0.5900	0.0004153
22064	0.6900	0.0003162
25280	0.7901	0.00015
28464	0.8902	0.0003317
31664	0.9899	0.0003
32752	1.0235	0.0
28464	0.8901	0.0003742
25264	0.7900	0.00035
22064	0.6900	0.0003873
18864	0.5900	0.0002693
12464	0.3904	0.0004359
 9264	0.2900	0.0004717
18864	0.5901	0.0002693
15664	0.4900	0.0003162
 -320	0.0002	0.026896
 -320	-0.0096	0.0004153
