1.92	0.18	181.17	0.63	61.13	0.53	164.11	0.55
3.64	0.18	180.32	0.78	82.38	0.76	167.95	0.49
5.37	0.19	183.28	0.57	89.73	0.9	164.88	0.58
7.1	0.19	179.26	0.72	98.43	1.04	164.66	0.62
8.82	0.19	183.77	0.58	98.69	1.1	168.23	0.46
10.89	0.47	178.85	0.6	108.94	1.36	164.3	0.51
14.0	0.21	180.6	0.92	109.28	1.27	168.22	0.46
17.19	0.45	183.96	0.61	109.32	1.29	168.23	0.46
19.09	0.35	179.39	0.64	121.56	1.93	168.23	0.46
20.9	0.24	179.2	0.58	122.24	1.77	168.24	0.46
24.18	0.43	179.67	0.72	122.38	1.61	166.15	0.67
25.22	0.26	183.61	0.71	122.35	1.64	165.38	0.69
25.22	0.26	180.47	0.83	120.14	2.77	167.76	0.66

