,serialNumber,stage
199,20UPBGT0000201,QC1
200,20UPBGT0000202,QC1
201,20UPBGT0000203,QC1
202,20UPBGT0000204,QC1
203,20UPBGT0000205,QC1
204,20UPBGT0000206,QC1
205,20UPBGT0000207,QC1
206,20UPBGT0000208,QC1
207,20UPBGT0000209,QC1
208,20UPBGT0000210,QC1
209,20UPBGT0000211,QC1
210,20UPBGT0000212,QC1
211,20UPBGT0000213,QC1
212,20UPBGT0000214,QC1
213,20UPBGT0000215,QC1
214,20UPBGT0000216,QC1
215,20UPBGT0000217,QC1
216,20UPBGT0000218,QC1
217,20UPBGT0000219,QC1
218,20UPBGT0000220,QC1
219,20UPBGT0000221,QC1
220,20UPBGT0000222,QC1
221,20UPBGT0000223,QC1
222,20UPBGT0000224,QC1
223,20UPBGT0000225,QC1
224,20UPBGT0000226,QC1
225,20UPBGT0000227,QC1
226,20UPBGT0000228,QC1
227,20UPBGT0000229,QC1
228,20UPBGT0000230,QC1
229,20UPBGT0000231,QC1
230,20UPBGT0000232,QC1
231,20UPBGT0000233,QC1
232,20UPBGT0000234,QC1
233,20UPBGT0000235,QC1
234,20UPBGT0000236,QC1
235,20UPBGT0000237,QC1
236,20UPBGT0000238,QC1
237,20UPBGT0000239,QC1
238,20UPBGT0000240,QC1
239,20UPBGT0000241,QC1
240,20UPBGT0000242,QC1
241,20UPBGT0000243,QC1
242,20UPBGT0000244,QC1
243,20UPBGT0000245,QC1
244,20UPBGT0000246,QC1
245,20UPBGT0000247,QC1
246,20UPBGT0000248,QC1
247,20UPBGT0000249,QC1
248,20UPBGT0000250,QC1
249,20UPBGT0000251,QC1
250,20UPBGT0000252,QC1
251,20UPBGT0000253,QC1
252,20UPBGT0000254,QC1
253,20UPBGT0000255,QC1
254,20UPBGT0000256,QC1
255,20UPBGT0000257,QC1
256,20UPBGT0000258,QC1
257,20UPBGT0000259,QC1
258,20UPBGT0000260,QC1
259,20UPBGT0000261,QC1
260,20UPBGT0000262,QC1
261,20UPBGT0000263,QC1
262,20UPBGT0000264,QC1
263,20UPBGT0000265,QC1
264,20UPBGT0000266,QC1
265,20UPBGT0000267,QC1
266,20UPBGT0000268,QC1
267,20UPBGT0000269,QC1
268,20UPBGT0000270,QC1
269,20UPBGT0000271,QC1
270,20UPBGT0000272,QC1
271,20UPBGT0000273,QC1
272,20UPBGT0000274,QC1
273,20UPBGT0000275,QC1
274,20UPBGT0000276,QC1
275,20UPBGT0000277,QC1
276,20UPBGT0000278,QC1
277,20UPBGT0000279,QC1
278,20UPBGT0000280,QC1
279,20UPBGT0000281,QC1
280,20UPBGT0000282,QC1
281,20UPBGT0000283,QC1
282,20UPBGT0000284,QC1
283,20UPBGT0000285,QC1
284,20UPBGT0000286,QC1
285,20UPBGT0000287,QC1
286,20UPBGT0000288,QC1
287,20UPBGT0000289,QC1
288,20UPBGT0000290,QC1
289,20UPBGT0000291,QC1
290,20UPBGT0000292,QC1
291,20UPBGT0000293,QC1
292,20UPBGT0000294,QC1
293,20UPBGT0000295,QC1
294,20UPBGT0000296,QC1
295,20UPBGT0000297,QC1
296,20UPBGT0000298,QC1
297,20UPBGT0000299,QC1
298,20UPBGT0000300,QC1
299,20UPBGT0000301,QC1
300,20UPBGT0000302,QC1
301,20UPBGT0000303,QC1
302,20UPBGT0000304,QC1
303,20UPBGT0000305,QC1
304,20UPBGT0000306,QC1
305,20UPBGT0000307,QC1
306,20UPBGT0000308,QC1
307,20UPBGT0000309,QC1
308,20UPBGT0000310,QC1
309,20UPBGT0000311,QC1
310,20UPBGT0000312,QC1
311,20UPBGT0000313,QC1
312,20UPBGT0000314,QC1
313,20UPBGT0000315,QC1
314,20UPBGT0000316,QC1
315,20UPBGT0000317,QC1
316,20UPBGT0000318,QC1
317,20UPBGT0000319,QC1
318,20UPBGT0000320,QC1
319,20UPBGT0000321,QC1
320,20UPBGT0000322,QC1
321,20UPBGT0000323,QC1
322,20UPBGT0000324,QC1
323,20UPBGT0000325,QC1
324,20UPBGT0000326,QC1
325,20UPBGT0000327,QC1
326,20UPBGT0000328,QC1
327,20UPBGT0000329,QC1
328,20UPBGT0000330,QC1
329,20UPBGT0000331,QC1
330,20UPBGT0000332,QC1
331,20UPBGT0000333,QC1
332,20UPBGT0000334,QC1
333,20UPBGT0000335,QC1
334,20UPBGT0000336,QC1
335,20UPBGT0000337,QC1
336,20UPBGT0000338,QC1
337,20UPBGT0000339,QC1
338,20UPBGT0000340,QC1
339,20UPBGT0000341,QC1
340,20UPBGT0000342,QC1
341,20UPBGT0000343,QC1
342,20UPBGT0000344,QC1
343,20UPBGT0000345,QC1
344,20UPBGT0000346,QC1
345,20UPBGT0000347,QC1
346,20UPBGT0000348,QC1
347,20UPBGT0000349,QC1
348,20UPBGT0000350,QC1
349,20UPBGT0000351,QC1
350,20UPBGT0000352,QC1
351,20UPBGT0000353,QC1
352,20UPBGT0000354,QC1
353,20UPBGT0000355,QC1
354,20UPBGT0000356,QC1
355,20UPBGT0000357,QC1
356,20UPBGT0000358,QC1
357,20UPBGT0000359,QC1
358,20UPBGT0000360,QC1
359,20UPBGT0000361,QC1
360,20UPBGT0000362,QC1
361,20UPBGT0000363,QC1
362,20UPBGT0000364,QC1
363,20UPBGT0000365,QC1
364,20UPBGT0000366,QC1
365,20UPBGT0000367,QC1
366,20UPBGT0000368,QC1
367,20UPBGT0000369,QC1
368,20UPBGT0000370,QC1
369,20UPBGT0000371,QC1
370,20UPBGT0000372,QC1
371,20UPBGT0000373,QC1
372,20UPBGT0000374,QC1
373,20UPBGT0000375,QC1
374,20UPBGT0000376,QC1
375,20UPBGT0000377,QC1
376,20UPBGT0000378,QC1
377,20UPBGT0000379,QC1
378,20UPBGT0000380,QC1
379,20UPBGT0000381,QC1
380,20UPBGT0000382,QC1
381,20UPBGT0000383,QC1
