20.69	0.35	17.51	0.35	16.53	0.38	9.8	0.36	22.151	0.048	inf	inf	inf
20.38	0.37	17.2	0.36	16.4	0.39	9.54	0.36	21.557	0.392	inf	inf	inf
20.14	0.4	16.97	0.4	16.16	0.38	9.24	0.37	21.302	0.047	inf	inf	inf
20.04	0.37	16.87	0.36	16.13	0.36	9.21	0.36	21.302	0.047	inf	inf	inf
19.77	0.39	16.6	0.38	15.9	0.4	9.15	0.41	21.302	0.047	inf	inf	inf
19.66	0.35	16.49	0.35	15.76	0.35	8.85	0.35	21.302	0.047	inf	inf	inf
19.46	0.4	16.4	0.42	15.86	0.38	8.95	0.38	21.302	0.047	inf	inf	inf
19.43	0.39	16.26	0.38	15.86	0.38	8.95	0.38	20.453	0.046	inf	inf	inf
19.53	0.39	16.37	0.39	15.97	0.39	9.05	0.39	20.453	0.046	inf	inf	inf
19.05	0.38	16.23	0.38	15.83	0.38	8.92	0.37	20.538	0.259	inf	inf	inf
19.12	0.39	16.3	0.39	15.9	0.39	8.98	0.39	20.453	0.046	inf	inf	inf
19.12	0.39	16.3	0.39	15.9	0.39	8.98	0.39	20.453	0.046	inf	inf	inf
19.05	0.38	16.23	0.38	15.83	0.38	8.92	0.37	20.453	0.046	inf	inf	inf
19.09	0.42	16.37	0.39	15.97	0.39	9.05	0.39	20.453	0.046	inf	inf	inf
18.85	0.41	16.33	0.39	15.93	0.39	9.02	0.39	20.453	0.046	inf	inf	inf
18.71	0.38	16.13	0.41	15.83	0.38	8.85	0.4	20.453	0.046	inf	inf	inf
18.64	0.35	15.82	0.35	15.76	0.35	8.52	0.35	20.453	0.046	inf	inf	inf
18.64	0.35	15.82	0.35	15.76	0.35	8.52	0.35	20.453	0.046	inf	inf	inf
18.61	0.39	15.86	0.36	15.63	0.4	8.56	0.36	20.453	0.046	inf	inf	inf
18.37	0.38	15.82	0.35	15.49	0.38	8.52	0.35	20.453	0.046	inf	inf	inf
18.3	0.35	15.82	0.35	15.42	0.35	8.52	0.35	20.453	0.046	inf	inf	inf
18.37	0.38	15.79	0.41	15.49	0.38	8.3	0.39	19.603	0.045	inf	inf	inf
18.37	0.38	15.55	0.38	15.49	0.38	8.26	0.37	19.603	0.045	inf	inf	inf
18.2	0.38	15.49	0.35	15.09	0.35	8.2	0.35	19.603	0.045	inf	inf	inf
18.14	0.39	15.66	0.39	15.26	0.39	8.04	0.39	19.603	0.045	inf	inf	inf
18.1	0.39	15.29	0.39	15.23	0.39	8.0	0.39	19.603	0.045	inf	inf	inf
18.03	0.38	15.22	0.38	14.82	0.38	7.94	0.37	19.603	0.045	inf	inf	inf
18.04	0.42	15.32	0.4	14.96	0.39	7.74	0.38	19.434	0.343	inf	inf	inf
17.73	0.38	15.02	0.41	14.72	0.42	7.64	0.38	18.754	0.044	inf	inf	inf
17.66	0.37	14.85	0.36	14.45	0.36	7.32	0.39	18.754	0.044	inf	inf	inf
