-0.0027	-0.0028	-0.0031	-0.003	-0.0023	-0.0023	-0.0021	-0.0025	-0.0029	-0.003	-0.003	-0.0028
0.0377	0.0389	0.0393	0.0393	0.0402	0.0406	0.0407	0.0405	0.04	0.04	0.04	0.0399
0.0802	0.0814	0.0817	0.0817	0.0829	0.083	0.0829	0.083	0.0827	0.0829	0.083	0.083
0.1221	0.1233	0.1232	0.1231	0.1246	0.1246	0.1243	0.1244	0.124	0.124	0.124	0.124
0.1639	0.1649	0.165	0.1654	0.1664	0.1664	0.166	0.1663	0.1663	0.1664	0.1664	0.1661
0.2061	0.2071	0.2078	0.2074	0.2081	0.2081	0.208	0.2082	0.2083	0.2081	0.2081	0.2081
0.248	0.2488	0.2493	0.2496	0.2507	0.2508	0.251	0.2508	0.2501	0.2501	0.25	0.25
0.29	0.2911	0.2911	0.2916	0.2928	0.2925	0.2922	0.2927	0.2922	0.2925	0.2923	0.2921
0.3321	0.3329	0.3333	0.3339	0.3349	0.335	0.335	0.3349	0.334	0.334	0.334	0.334
0.374	0.3745	0.3755	0.3756	0.3767	0.3764	0.3765	0.3766	0.3761	0.376	0.376	0.376
0.4161	0.4171	0.4177	0.4178	0.418	0.4181	0.4184	0.4181	0.418	0.418	0.4178	0.4179
0.4581	0.4589	0.4598	0.4599	0.4607	0.4609	0.461	0.461	0.46	0.4601	0.4601	0.46
0.4999	0.5011	0.5018	0.5021	0.503	0.5029	0.503	0.5027	0.502	0.5021	0.5021	0.502
0.5419	0.5428	0.5434	0.5434	0.544	0.544	0.5446	0.545	0.544	0.5441	0.5442	0.5441
0.585	0.5852	0.5856	0.5853	0.586	0.5861	0.587	0.5869	0.586	0.586	0.5861	0.5861
0.6251	0.6271	0.6271	0.627	0.628	0.6283	0.6287	0.6286	0.628	0.6281	0.628	0.628
0.6675	0.669	0.6698	0.6699	0.6701	0.67	0.6701	0.67	0.67	0.67	0.67	0.67
0.7114	0.7118	0.7119	0.7118	0.7121	0.7128	0.713	0.713	0.712	0.7123	0.7122	0.7121
0.7514	0.7533	0.7534	0.7535	0.754	0.7541	0.7541	0.7542	0.7538	0.754	0.754	0.754
0.7939	0.7953	0.7961	0.796	0.7968	0.7964	0.7963	0.7961	0.796	0.796	0.796	0.796
0.8354	0.8371	0.8373	0.8372	0.838	0.8382	0.8381	0.838	0.838	0.8378	0.8377	0.8377
0.8777	0.8789	0.8793	0.8792	0.8806	0.881	0.8809	0.881	0.8801	0.8802	0.8802	0.8801
0.9201	0.9218	0.9218	0.922	0.9224	0.9227	0.9226	0.9225	0.922	0.922	0.922	0.922
