,component,componentType,stage,testType,date,runNumber,passed,problems,result1_key,result1_value,result2_key,result2_value
34,20UPBBB0002440,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.761,Estimated_Ni_Mass,0
35,20UPBBB0002441,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,01/01/1900,1.0,True,False,Base_Block_Mass,0,Estimated_Ni_Mass,0
36,20UPBBB0002442,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.763,Estimated_Ni_Mass,0
37,20UPBBB0002443,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.767,Estimated_Ni_Mass,0
38,20UPBBB0002444,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.766,Estimated_Ni_Mass,0
39,20UPBBB0002445,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.76,Estimated_Ni_Mass,0
40,20UPBBB0002446,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.762,Estimated_Ni_Mass,0
41,20UPBBB0002447,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.762,Estimated_Ni_Mass,0
42,20UPBBB0002448,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.766,Estimated_Ni_Mass,0
43,20UPBBB0002449,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.772,Estimated_Ni_Mass,0
44,20UPBBB0002450,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.768,Estimated_Ni_Mass,0
45,20UPBBB0002451,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.769,Estimated_Ni_Mass,0
46,20UPBBB0002452,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.767,Estimated_Ni_Mass,0
47,20UPBBB0002453,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.77,Estimated_Ni_Mass,0
48,20UPBBB0002454,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.77,Estimated_Ni_Mass,0
49,20UPBBB0002455,OB_BASE_BLOCK,QC_BEFORE_NI_COATING,Mass_Control,11/04/2022,1.0,True,False,Base_Block_Mass,0.768,Estimated_Ni_Mass,0
